Base ID,Name,Pre-Type,Type,Domains,Rarity,Energy Cost,Power Cost,Might,Rules Text,Champion Tag,Other Tags,Other
OGN-039,"Kai'Sa, Survivor",Champion,Unit,Fury,Epic,4,0,4,"[Accelerate]
When I conquer, draw 1.",,The Void,
OGN-040,Seal of Rage,,Gear,Fury,Epic,0,1,,[E]: [Reaction] — [Add] [C].,,,
OGN-041,"Volibear, Furious",Champion,Unit,Fury,Epic,10,2,9,"[Deflect 2]
When I attack, deal 5 damage split among any number of enemy units here.",Volibear,Freljord,
OGN-042,Calm Rune,,Rune,Calm,Common,,,,,,,
OGN-043,Charm,,Spell,Calm,Common,1,1,,Move an enemy unit.,,,
OGN-044,Clockwork Keeper,,Unit,Calm,Common,2,0,2,"As you play me, you may pay [C] as an additional cost. If you do, draw 1.",,Shurima,
OGN-045,Defy,,Spell,Calm,Common,1,1,,"[Reaction]
Counter a spell that costs no more than [4] and no more than [A].",,,
OGN-046,En Garde,,Spell,Calm,Common,1,0,,"[Reaction]
Give a friendly unit +1 [M] this turn, then an addtional +1 [M] this turn if it is the only unit you control there.",,,
OGN-047,Find Your Center,,Spell,Calm,Common,3,0,,"[Action]
If an opponent's score is within 3 points of the Victory Score, this costs [2] less.
Draw 1 and channel 1 rune exhausted.",,,
OGN-048,Meditation,,Spell,Calm,Common,2,0,,"[Reaction]
As an additional cost to play this, you may exhaust a friendly unit. If you do, draw 2. Otherwise, draw 1.",,,
OGN-049,Playful Phantom,,Unit,Calm,Common,5,0,5,,,"Shadow Isles, Spirit",
OGN-050,Rune Prison,,Spell,Calm,Common,2,1,,"[Action]
Stun a unit.",,,
OGN-051,Solari Shieldbearer,,Unit,Calm,Common,3,0,2,"When you play me, stun a unit.",,Mount Targon,
OGN-052,Stalwart Poro,,Unit,Calm,Common,2,0,2,[Shield],,Poro,
OGN-053,Stand United,,Spell,Calm,Common,3,0,,"[Hidden]
[Action]
Buff a friendly unit. Buffs give an addtional +1 [M] to friendly units this turn.",,,
OGN-054,Sunlit Guardian,,Unit,Calm,Common,3,0,3,"[Shield]
[Tank]",,Shurima,
OGN-055,Wielder of Water,,Unit,Calm,Common,3,0,2,"While I'm attacking or defending alone, I have +2 [M].",,Ionia,
OGN-056,Adaptatron,,Unit,Calm,Uncommon,4,0,3,"When I conquer, you may kill a gear. If you do, buff me.",,"Piltover, Mech",
OGN-057,Block,,Spell,Calm,Uncommon,2,0,,"[Hidden]
[Action]
Give a unit [Shield 3] and [Tank] this turn.",,,
OGN-058,Discipline,,Spell,Calm,Uncommon,2,0,,"[Reaction]
Give a unit +2 [M] this turn. Draw 1.",,,
OGN-059,Eclipse Herald,,Unit,Calm,Uncommon,7,1,7,"When you stun an enemy unit, ready me and give me +1 [M] this turn.",,"Mount Targon, Bird",
OGN-060,Mask of Foresight,,Gear,Calm,Uncommon,2,0,,"When a friendly unit attacks or defends alone, give it +1 [M] this turn.",,,
OGN-061,Poro Herder,,Unit,Calm,Uncommon,3,1,3,"When you play me, if you control a Poro, buff me and draw 1.",,Freljord,
OGN-062,Reinforce,,Spell,Calm,Uncommon,5,0,,Look at the top 5 cards of your Main Deck. You may play a unit from among them. Its Energy cost is reduced by [5]. Then recycle the remaining cards.,,,
OGN-063,Spirit's Refuge,,Gear,Calm,Uncommon,2,1,,"When you play this, buff a friendly unit.
Friendly buffed units have [Deflect] if they didn't already.",,,
OGN-064,Wind Wall,,Spell,Calm,Uncommon,3,2,,"[Reaction]
Counter a spell.",,,
OGN-065,Wizened Elder,,Unit,Calm,Uncommon,4,0,4,"While I'm buffed, I have an addtional +1 [M].",,Ionia,
OGN-066,"Ahri, Alluring",Champion,Unit,Calm,Rare,5,1,4,"When I hold, you score 1 point.",Ahri,Ionia,
OGN-067,"Blitzcrank, Impassive",Champion,Unit,Calm,Rare,5,1,5,"[Tank]
When you play me to a battlefield, you may move an enemy unit to here.
When I hold, return me to my owner's hand.",Blitzcrank,"Zaun, Mech",
OGN-068,"Caitlyn, Patrolling",Champion,Unit,Calm,Rare,3,1,3,"I must be assigned combat damage last.
[E]: Deal damage equal to my Might to a unit at a battlefield. Use this ability only while I'm at a battlefield.",Caitlyn,Piltover,
OGN-069,Last Stand,,Spell,Calm,Rare,3,1,,"[Action]
Double a friendly unit's Might this turn. Give it [Temporary].",,,
OGN-070,Mageseeker Warden,,Unit,Calm,Rare,6,1,5,"While I'm at a battlefield, opponents can only play units to their base.
While I'm at a battlefield, spells and abilities can't ready enemy units and gear.",,Demacia,
OGN-071,Party Favors,,Spell,Calm,Rare,3,0,,"Each other player chooses Cards or Runes. For each player that chooses Cards, you and that player each draw 1. For each player that chooses Runes, you and that player each channel 1 rune exhausted.",,,
OGN-072,Solari Shrine,,Gear,Calm,Rare,3,0,,"Whenever you kill a stunned enemy unit, you may exhaust this to draw 1.",,,
OGN-073,"Sona, Harmonious",Champion,Unit,Calm,Rare,4,1,4,"At the end of your turn, if I'm at a battlefield, ready up to 4 friendly runes.",Sona,Demacia,
OGN-074,"Taric, Protector",Champion,Unit,Calm,Rare,4,1,4,"[Shield]
[Tank]
Other friendly units here have [Shield].",Taric,Mount Targon,
OGN-075,Tasty Faefolk,,Unit,Calm,Rare,7,0,6,"[Accelerate]
[Deathknell] — Channel 2 runes exhausted and draw 1.",,"Bandle City, Fae",
OGN-076,"Yasuo, Remorseful",Champion,Unit,Calm,Rare,6,2,6,"When I attack, deal damage equal to my Might to an enemy unit here.",Yasuo,Ionia,
OGN-077,Zhonya's Hourglass,,Gear,Calm,Rare,2,0,,"[Hidden]
If a friendly unit would die, kill this instead. Heal that unit, exhaust it, and recall it.",,,
OGN-078,"Lee Sin, Ascetic",Champion,Unit,Calm,Epic,5,1,5,"[Shield]
[E]: Buff me.
I can have any number of buffs.",Lee Sin,Ionia,
OGN-079,"Leona, Zealot",Champion,Unit,Calm,Epic,6,1,6,"If an opponent's score is within 3 points of the Victory Score, I enter ready.
Stunned enemy units here have -8 [M], to a minimum of 1 [M].",Leona,Mount Targon,
OGN-080,Mystic Reversal,,Spell,Calm,Epic,4,3,,"[Reaction]
Gain control of a spell. You may make new choices for it.",,,
OGN-081,Seal of Focus,,Gear,Calm,Epic,0,1,,[E]: [Reaction] — [Add] [C].,,,
OGN-082,Whiteflame Protector,,Unit,Calm,Epic,8,2,8,"When you play me, give a unit +8 [M] this turn.",,"Mount Targon, Dragon",
OGN-083,Consult the Past,,Spell,Mind,Common,4,0,,"[Hidden]
[Reaction]
Draw 2.",,,
OGN-084,Eager Apprentice,,Unit,Mind,Common,3,0,3,"While I'm at a battlefield, the Energy costs for spells you play is reduced by [1], to a minimum of [1].",,Piltover,
OGN-085,Falling Comet,,Spell,Mind,Common,5,0,,"[Action]
Deal 6 to a unit at a battlefield.",,,
OGN-086,Jeweled Colossus,,Unit,Mind,Common,5,0,5,"[Vision]
[Shield]",,Mount Targon,
OGN-087,Lecturing Yordle,,Unit,Mind,Common,3,0,2,"[Tank]
When you play me, draw 1.",,"Bandle City, Yordle",
OGN-088,Mega-Mech,,Unit,Mind,Common,7,0,8,,,"Bandle City, Mech",
OGN-089,Mind Rune,,Rune,Mind,Common,,,,,,,
OGN-090,Orb of Regret,,Gear,Mind,Common,1,0,,"[E]: Give a unit -1 [M] this turn, to a minimum of 1 [M].",,,
OGN-091,Pit Crew,,Unit,Mind,Common,3,0,3,"When you play a gear, ready me.",,Bandle City,
OGN-092,Riptide Rex,,Unit,Mind,Common,6,2,6,"When you play me, deal 6 to an enemy unit at a battlefield.",,"Bilgewater, Pirate",
OGN-093,Smoke Screen,,Spell,Mind,Common,2,1,,"[Reaction]
Give a unit -4 [M] this turn, to a minimum of 1 [M].",,,
OGN-094,Sprite Call,,Spell,Mind,Common,3,0,,"[Hidden]
[Action]
Play a ready 3 [M] Sprite unit token with [Temporary].",,,
OGN-095,Stupefy,,Spell,Mind,Common,1,0,,"Give a unit -1 [M] this turn, to a minimum of 1 [M].
Draw 1.",,,
OGN-096,Watchful Sentry,,Unit,Mind,Common,2,0,1,[Deathknell] — Draw 1.,,Freljord,
OGN-097,Blastcone Fae,,Unit,Mind,Uncommon,2,1,2,"[Hidden]
When you play me, give a unit -2 [M] this turn, to a minimum of 1 [M].",,"Bandle City, Fae",
OGN-098,Energy Conduit,,Gear,Mind,Uncommon,3,0,,[E]: [Reaction] — [Add] [1].,,,
OGN-099,Garbage Grabber,,Gear,Mind,Uncommon,2,0,,"Recycle 3 from your trash, [1], [E]: Draw 1.",,,
OGN-100,Gemcraft Seer,,Unit,Mind,Uncommon,3,1,3,"[Vision]
Other friendly units have [Vision].",,Mount Targon,
OGN-101,Mushroom Pouch,,Gear,Mind,Uncommon,2,0,,"At the start of your Beginning Phase, if you control a facedown card at a battlefield, draw 1.",,,
OGN-102,Portal Rescue,,Spell,Mind,Uncommon,3,1,,"Banish a friendly unit, then its owner plays it to their base, ignoring its cost.",,,
OGN-103,Ravenbloom Student,,Unit,Mind,Uncommon,2,0,2,"When you play a spell, give me +1 [M] this turn.",,Noxus,
OGN-104,Retreat,,Spell,Mind,Uncommon,1,0,,"[Reaction]
Return a friendly unit to its owner's hand. Its owner channels 1 rune exhausted.",,,
OGN-105,Singularity,,Spell,Mind,Uncommon,6,2,,Deal 6 to each of up to two units.,,,
OGN-106,Sprite Mother,,Unit,Mind,Uncommon,4,1,3,"When you play me, play a ready 3 [M] Sprite unit token with [Temporary] here.",,Fae,
OGN-107,Ava Achiever,,Unit,Mind,Rare,5,0,4,"When I attack, you may pay [C] to play a card with [Hidden] from your hand, ignoring its cost. If itʼs a unit, play it here.",,"Bandle City, Yordle",
OGN-108,Convergent Mutation,,Spell,Mind,Rare,2,1,,"[Reaction]
Choose a friendly unit. This turn, increase its Might to the Might of another friendly unit.",,,
OGN-109,"Dr. Mundo, Expert",Champion,Unit,Mind,Rare,8,2,6,"My Might is increased by the number of cards in your trash.
At the start of your Beginning Phase, recycle 3 from your trash.",Dr. Mundo,Zaun,
OGN-110,"Ekko, Recurrent",Champion,Unit,Mind,Rare,5,1,5,[Accelerate] [Deathknell] — Recycle me to ready your runes.,Ekko,Zaun,
OGN-111,"Heimerdinger, Inventor",Champion,Unit,Mind,Rare,3,1,3,"I have all [E] abilities of all friendly legends, units, and gear.",Heimerdinger,"Piltover, Yordle",
OGN-112,"Kai'Sa, Evolutionary",Champion,Unit,Mind,Rare,6,1,6,"[Ganking]
When I conquer, you may play a spell from your trash with Energy cost less than your points without paying its Energy cost. Then recycle it.",Kai'Sa,The Void,
OGN-113,"Malzahar, Fanatic",Champion,Unit,Mind,Rare,4,0,3,"Kill a friendly unit or gear, [E]: [Action] — [Add] [A][A].",Malzahar,The Void,
OGN-114,Progress Day,,Spell,Mind,Rare,6,1,,Draw 4.,,,
OGN-115,Promising Future,,Spell,Mind,Rare,5,1,,"Each player looks at the top 5 cards of their Main Deck, banishes one, then recycles the rest. Starting with the next player, each player plays those cards, ignoring Energy costs.",,,
OGN-116,Thousand-Tailed Watcher,,Unit,Mind,Rare,7,1,7,"[Accelerate]
When you play me, give enemy units -3 [M] htis turn, to a minimum of 1 [M].",,Ionia,
OGN-117,"Viktor, Innovator",Champion,Unit,Mind,Rare,4,1,3,"When you play a card on an opponent's turn , play a 1 [M] Recruit unit token in your base.",Viktor,Zaun,
OGN-118,Wraith of Echoes,,Unit,Mind,Rare,6,1,5,"The first time another friendly unit dies each turn, draw 1.",,"Shadow Isles, Spirit",
OGN-119,"Ahri, Inquisitive",Champion,Unit,Mind,Epic,3,1,3,"When I attack or defend, give an enemy unit here -2 [M] this turn, to a minimum of 1 [M].",Ahri,Ionia,
OGN-120,Seal of Insight,,Gear,Mind,Epic,0,1,,[E]: [Reaction] — [Add] [C].,,,
OGN-121,"Teemo, Strategist",Champion,Unit,Mind,Epic,2,1,,"[Hidden]
When I defend, choose an enemy unit here and reveal the top 5 cards of your Main Deck. Deal 1 to that unit for each card with [Hidden] revealed this way, then recycle the revealed cards.",Teemo,"Bandle City, Yordle",
OGN-122,Time Warp,,Spell,Mind,Epic,10,4,,Take a turn after this one. Banish this.,,,
OGN-123,Unchecked Power,,Spell,Mind,Epic,7,2,,"Exhaust all friendly units, then deal 12 to all units at battlefields.",,,
OGN-124,Arena Bar,,Gear,Body,Common,3,0,,[E]: Buff an exhausted friendly unit.,,,
OGN-125,Bilgewater Bully,,Unit,Body,Common,6,0,6,"While I'm buffed, I have [Ganking].",,Bilgewater,
OGN-126,Body Rune,,Rune,Body,Common,,,,,,,
OGN-127,Cannon Barrage,,Spell,Body,Common,2,1,,"[Reaction]
Deal 2 to all enemy units in combat.",,,
OGN-128,Challenge,,Spell,Body,Common,2,1,,"[Action]
Choose a friendly unit and an enemy unit. They deal damage equal to their Mights to each other.",,,
OGN-129,Confront,,Spell,Body,Common,2,0,,"[Action]
Units you play this turn enter ready.
Draw 1.",,,
OGN-130,Crackshot Corsair,,Unit,Body,Common,3,0,3,"When I attack, deal 1 to an enemy unit here.",,"Bilgewater, Pirate",
OGN-131,Dune Drake,,Unit,Body,Common,5,0,5,"When I attack, give me +2 [M] this turn if there is a ready enemy unit here. ",,"Shurima, Dragon",
OGN-132,First Mate,,Unit,Body,Common,3,0,3,"When you play me, ready another unit.",,"Bilgewater, Pirate",
OGN-133,Flurry of Blades,,Spell,Body,Common,1,0,,"[Reaction]
Deal 1 to all units at battlefields.",,,
OGN-134,Mobilize,,Spell,Body,Common,2,0,,"Channel 1 rune exhausted. If you can't, draw 1.",,,
OGN-135,Pakaa Cub,,Unit,Body,Common,3,0,3,[HIdden],,"Ixtal, Cat",
OGN-136,Pit Rookie,,Unit,Body,Common,2,0,2,"When you play me, buff another friendly unit.",,Bilgewater,
OGN-137,Stormclaw Ursine,,Unit,Body,Common,7,0,6,"[Tank]
When you play me, channel 1 rune exhausted.",,Freljord,
OGN-138,Catalyst of Aeons,,Spell,Body,Common,4,0,,"Channel 2 runes exhausted. If you couldn't channel 2 runes this way, draw 1.",,,
OGN-139,Cithria of Cloudfield,,Unit,Body,Uncommon,2,0,1,"When you play another unit, buff me.",,"Demacia, Elite",
OGN-140,Herald of Scales,,Unit,Body,Uncommon,4,0,3,"Your Dragons' Energy costs are reduced by [2], to a minimum of [1].",,Mount Targon,
OGN-141,Kinkou Monk,,Unit,Body,Uncommon,4,1,4,"When you play me, buff up to two other friendly units.",,Ionia,
OGN-142,Mountain Drake,,Unit,Body,Uncommon,9,0,10,,,Dragon,
OGN-143,Pirate's Haven,,Gear,Body,Uncommon,3,0,,"When you ready a friendly unit, give it +1 [M] this turn.",,,
OGN-144,Spoils of War,,Spell,Body,Uncommon,4,1,,"[Reaction]
If an enemy unit has died this turn, this costs [2] less.
Draw 2.",,,
OGN-145,Unyielding Spirit,,Spell,Body,Uncommon,1,1,,Prevent all damage that would be dealt this turn by spells and abilities.,,,
OGN-146,Wallop,,Spell,Body,Uncommon,2,0,,"[Action]
As you play this, you may spend a buff as an additional cost. If you do, ignore this spell's cost.",,,
OGN-147,Wildclaw Shaman,,Unit,Body,Uncommon,4,0,3,"When you play me, you may spend a buff to buff me and ready me.",,Freljord,
OGN-148,"Anivia, Primal",Champion,Unit,Body,Rare,7,2,8,"When I attack, deal 3 to all enemy units here.",Anivia,"Freljord, Bird",
OGN-149,Carnivorous Snapvine,,Unit,Body,Rare,5,2,6,"When you play me, choose an enemy unit at a battlefield. We deal damage equal to our Mights to each other.",,Shadow Isles,
OGN-150,Kraken Hunter,,Unit,Body,Rare,3,2,5,"[Accelerate]
[Assault]
As you play me, you may spend any number of buffs as an additional cost. Reduce my cost by [C] for each buff you spend.",,"Bilgewater, Pirate",
OGN-151,"Lee Sin, Centered",Champion,Unit,Body,Rare,6,0,6,"[Accelerate]
Other buffed friendly units at my battlefield have +2 [M].",Lee Sin,Ionia,
OGN-152,Mistfall,,Gear,Body,Rare,3,0,,"When you buff a friendly unit, you may pay [C] and exhaust this to ready it.",,,
OGN-153,Overt Operation,,Spell,Body,Rare,5,2,,"[Action]
For each friendly unit, you may spend its buff to ready it. Then buff all friendly units.",,,
OGN-154,Primal Strength,,Spell,Body,Rare,4,1,,"[Action]
Give a unit +7 [M] this turn.",,,
OGN-155,"Qiyana, Victorious",Champion,Unit,Body,Rare,4,1,4,"[Deflect]
When I conquer, draw 1 or channel 1 rune exhausted.",Qiyana,Ixtal,
OGN-156,Sabotage,,Spell,Body,Rare,1,1,,"Choose an opponent. They reveal their hand. Choose a non-unit card from it, and recycle that card.",,,
OGN-157,"Udyr, Wildman",Champion,Unit,Body,Rare,6,1,6,"Spend my buff: Choose one you've not chosen this turn —
• Deal 2 to a unit at a battlefield.
• Stun a unit at a battlefield.
• Ready me.
• Give me [Ganking] this turn.",Udyr,Freljord,
OGN-158,"Volibear, Imposing",Champion,Unit,Body,Rare,12,2,10,"[Shield 3]
[Tank]
When an opponent moves to a battlefield other than mine, draw 1.",Volibear,Freljord,
OGN-159,"Warwick, Hunter",Champion,Unit,Body,Rare,6,1,5,"I enter ready.
When I attack, kill all damaged enemy units here.",Warwick,"Zaun, Dog",
OGN-160,Dazzling Aurora,,Gear,Body,Epic,9,2,,"At the end of your turn, reveal cards from the top of your Main Deck until you reveal a unit and banish it. Play it, ignoring its cost, and recycle the rest.",,,
OGN-161,Deadbloom Predator,,Unit,Body,Epic,8,2,8,"[Deflect]
You may play me to an occupied enemy battlefield.",,Shadow Isles,
OGN-162,"Miss Fortune, Captain",Champion,Unit,Body,Epic,5,1,5,"[Accelerate]
[Ganking]
The first time I move each turn, you may ready something else that's exhausted.",Miss Fortune,"Bilgewater, Pirate",
OGN-163,Seal of Strength,,Gear,Body,Epic,0,1,,[E]: [Reaction] — [Add] [C].,,,
OGN-164,"Sett, Brawler",Champion,Unit,Body,Epic,5,1,4,"When I'm played and when I conquer, buff me.
Spend my buff: Give me +4 [M] this turn.",Sett,Ionia,
OGN-165,Cemetery Attendant,,Unit,Chaos,Common,3,1,3,"When you play me, return a unit from your trash to your hand.",,"Shadow Isles, Dog",
OGN-166,Chaos Rune,,Rune,Chaos,Common,,,,,,,
OGN-167,Ember Monk,,Unit,Chaos,Common,4,0,4,"When you play a card from [Hidden], give me +2 [M] this turn.",,Bandle City,
OGN-168,Fight or Flight,,Spell,Chaos,Common,2,0,,"[Hidden]
[Action]
Move a unit from a battlefield to its base.",,,
OGN-169,Gust,,Spell,Chaos,Common,1,0,,"[Reaction]
Return a unit at a battlefield with 3 [M] or less to its owner's hand.",,,
OGN-170,Morbid Return,,Spell,Chaos,Common,2,0,,"[Action]
Return a unit from your trash to your hand.",,,
OGN-171,Mystic Poro,,Unit,Chaos,Common,2,0,2,[Vision],,Poro,
OGN-172,Rebuke,,Spell,Chaos,Common,2,2,,"[Action]
Return a unit at a battlefield to its owner's hand.",,,
OGN-173,Ride the Wind,,Spell,Chaos,Common,2,1,,"[Action]
Move a friendly unit and ready it.",,,
OGN-174,Sai Scout,,Unit,Chaos,Common,6,0,5,"[Vision]
You may play me to an open battlefield.",,Shurima,
OGN-175,Shipyard Skulker,,Unit,Chaos,Common,3,0,3,,,"Bilgewater, Pirate",
OGN-176,Sneaky Deckhand,,Unit,Chaos,Common,3,0,2,You may play me to an open battlefield.,,"Bilgewater, Pirate",
OGN-177,Stealthy Pursuer,,Unit,Chaos,Common,4,1,4,"When a friendly unit moves from my location, I may be moved with it.",,Shurima,
OGN-178,Undercover Agent,,Unit,Chaos,Common,5,1,5,"[Deathknell] — Discard 2, then draw 2.",,,
OGN-179,Acceptable Losses,,Spell,Chaos,Uncommon,1,0,,Each player kills one of their gear.,,,
OGN-180,Fading Memories,,Spell,Chaos,Uncommon,4,1,,Give a unit at a battlefield or a gear [Temporary].,,,
OGN-181,Pack of Wonders,,Gear,Chaos,Uncommon,2,0,,"[E]: Return another friendly gear, unit, or facedown card to its owner's hand.",,,
OGN-182,Scrapheap,,Gear,Chaos,Uncommon,2,0,,"When this is played, discarded, or killed, draw 1.",,,
OGN-183,Stacked Deck,,Gear,Chaos,Uncommon,1,0,,"[Action]
Look at the top 3 card of your Main Deck. Put 1 into your hand and recycle the rest.",,,
OGN-184,The Syren,,Gear,Chaos,Uncommon,2,0,,"[1], [E]: Move a friendly unit at a battlefield to its base.",,,
OGN-185,Traveling Merchant,,Unit,Chaos,Uncommon,2,0,2,"When I move, discard 1, then draw 1.",,Bilgewater,
OGN-186,Treasure Trove,,Gear,Chaos,Uncommon,2,0,,"When this leaves the board, draw 1 and channel 1 rune exhausted.
[C], [E]: Kill this.",,,
OGN-187,Whirlwind,,Spell,Chaos,Uncommon,4,1,,"Starting with the next player, each player may return a unit to its owner's hand.",,,
OGN-188,Zaunite Bouncer,,Unit,Chaos,Uncommon,4,2,2,"When you play me, return another unit at a battlefield to its owner's hand.",,Zaun,
OGN-189,"Kayn, Unleashed",Champion,Unit,Chaos,Rare,6,1,6,"[Ganking]
If I have moved twice this turn, I don't take damage.",Kayn,Ionia,
OGN-190,"Kog'Maw, Caustic",Champion,Unit,Chaos,Rare,3,1,1,[Deathknell] — Deal 4 to all units at my battlefield.,Kog'Maw,The Void,
OGN-191,Maddened Marauder,,Unit,Chaos,Rare,5,0,4,"[Tank]
When you play me, move a unit from a battlefield to its base.",,"Bilgewater, Pirate",
OGN-192,Mindsplitter,,Unit,Chaos,Rare,7,2,7,"When you play me, choose an opponent. They reveal their hand. Choose a card from it, and they discard that card.",,"Mount Targon, Dragon",
OGN-193,"Miss Fortune, Buccaneer",Champion,Unit,Chaos,Rare,4,1,4,"You may play me to an open battlefield.
Friendly units may be played to open battlefields.",Miss Fortune,"Bilgewater, Pirate",
OGN-194,"Nocturne, Horrifying",Champion,Unit,Chaos,Rare,4,1,4,"[Ganking]
As you look at or reveal me from the top of your deck, you may banish me. If you do, you may play me for [A].",Nocturne,,
OGN-195,Rhasa the Sunderer,,Unit,Chaos,Rare,10,1,6,I cost [1] less for each card in your trash.,,"Shadow Isles, Spirit",
OGN-196,Soul Gorger,,Unit,Chaos,Rare,8,2,5,"When you play me, you may play a unit from your trash, ignoring its Energy cost.",,"Shadow Isles, Spirit",
OGN-197,"Teemo, Scout",Champion,Unit,Chaos,Rare,2,0,1,"[Hidden]
When you play me, give me +3 [M] this turn.",Teemo,"Bandle City, Yordle",
OGN-198,The Harrowing,,Spell,Chaos,Rare,6,2,,"Play a unit from your trash, ignoring its Energy cost.",,,
