ID,Base ID,TTS ID,Rarity,Altered Flavor Text,Base Card Name,Notes
ARC-001,OGN-036,ARC-001-1,Showcase,,"Vi, Destructive",Promo
ARC-002,OGN-068,ARC-002-1,Showcase,,"Caitlyn, Patrolling",Promo
ARC-003,OGN-111,ARC-003-1,Showcase,,"Heimerdinger, Inventor",Promo
ARC-004,OGN-159,ARC-004-1,Showcase,,"Warwick, Hunter",Promo
ARC-005,OGN-202,ARC-005-1,Showcase,,"Jinx, Rebel",Promo
ARC-006,OGN-246,ARC-006-1,Showcase,,"Viktor, Leader",Promo
SFD-020a,SFD-020,SFD-020-2,Showcase,,"Draven, Vanquisher",Alt Art
SFD-026a,SFD-026,SFD-026-2,Showcase,,"Rumble, Hotheaded",Alt Art
SFD-028a,SFD-028,SFD-028-2,Showcase,,"Lucian, Gunslinger",Alt Art
SFD-029a,SFD-029,SFD-029-2,Showcase,,"Rek'Sai, Breacher",Alt Art
SFD-050a,SFD-050,SFD-050-2,Showcase,,"Azir, Ascendant",Alt Art
SFD-054a,SFD-054,SFD-054-2,Showcase,,"Jax, Unmatched",Alt Art
SFD-057a,SFD-057,SFD-057-2,Showcase,,"Irelia, Fervent",Alt Art
SFD-058a,SFD-058,SFD-058-2,Showcase,,"Ornn, Blacksmith",Alt Art
SFD-082a,SFD-082,SFD-082-2,Showcase,,"Ezreal, Dashing",Alt Art
SFD-085a,SFD-085,SFD-085-2,Showcase,,"Ornn, Forge God",Alt Art
SFD-088a,SFD-088,SFD-088-2,Showcase,,"Renata Glasc, Mastermind",Alt Art
SFD-089a,SFD-089,SFD-089-2,Showcase,,"Rumble, Scrapper",Alt Art
SFD-110a,SFD-110,SFD-110-2,Showcase,,"Fiora, Peerless",Alt Art
SFD-113a,SFD-113,SFD-113-2,Showcase,,"Lucian, Merciless",Alt Art
SFD-119a,SFD-119,SFD-119-2,Showcase,,"Jax, Unrelenting",Alt Art
SFD-120a,SFD-120,SFD-120-2,Showcase,,"Sivir, Ambitious",Alt Art
SFD-141a,SFD-141,SFD-141-2,Showcase,,"Irelia, Graceful",Alt Art
SFD-143a,SFD-143,SFD-143-2,Showcase,,"Sivir, Mercenary",Alt Art
SFD-148a,SFD-148,SFD-148-2,Showcase,,"Draven, Audacious",Alt Art
SFD-149a,SFD-149,SFD-149-2,Showcase,,"Ezreal, Prodigy",Alt Art
SFD-170a,SFD-170,SFD-170-2,Showcase,,"Rek'Sai, Swarm Queen",Alt Art
SFD-171a,SFD-171,SFD-171-2,Showcase,,"Renata Glasc, Industrialist",Alt Art
SFD-177a,SFD-177,SFD-177-2,Showcase,,"Azir, Sovereign",Alt Art
SFD-180a,SFD-180,SFD-180-2,Showcase,,"Fiora, Worthy",Alt Art
SFD-222,OGN-040,OGN-040-2,Showcase,,Seal of Rage,Overnumbered
SFD-223,OGN-035,OGN-035-2,Showcase,"""Goodbye... for now.""","Vayne, Hunter",Overnumbered
SFD-223*,OGN-035,OGN-035-3,Showcase,"""Goodbye... for now.""","Vayne, Hunter",ON Signed
SFD-224,SFD-049,SFD-049-2,Showcase,,"Aphelios, Exalted",Overnumbered
SFD-224*,SFD-049,SFD-049-3,Showcase,,"Aphelios, Exalted",ON Signed
SFD-225,SFD-057,SFD-057-2,Showcase,"""Everyone has a purpose.""","Irelia, Fervent",Overnumbered
SFD-225*,SFD-057,SFD-057-3,Showcase,"""Everyone has a purpose.""","Irelia, Fervent",ON Signed
SFD-226,OGN-081,OGN-081-2,Showcase,,Seal of Focus,Overnumbered
SFD-227,OGN-119,OGN-119-2,Showcase,"""Just remember... to follow the fox.""","Ahri, Inquisitive",Overnumbered
SFD-227*,OGN-119,OGN-119-3,Showcase,"""Just remember... to follow the fox.""","Ahri, Inquisitive",ON Signed
SFD-228,SFD-079,SFD-079-2,Showcase,(Mysterious flower noises intensify.),"Bard, Mercurial",Overnumbered
SFD-228*,SFD-079,SFD-079-3,Showcase,(Mysterious flower noises intensify.),"Bard, Mercurial",ON Signed
SFD-229,OGN-120,OGN-120-2,Showcase,,Seal of Insight,Overnumbered
SFD-230,OGN-121,OGN-121-2,Showcase,,"Teemo, Strategist",Overnumbered
SFD-230*,OGN-121,OGN-121-3,Showcase,,"Teemo, Strategist",ON Signed
SFD-231,OGN-163,OGN-163-2,Showcase,,Seal of Strength,Overnumbered
SFD-232,OGN-164,OGN-164-2,Showcase,"""Kings or beggars—all the same to me.""","Sett, Brawler",Overnumbered
SFD-232*,OGN-164,OGN-164-3,Showcase,"""Kings or beggars—all the same to me.""","Sett, Brawler",ON Signed
SFD-233,SFD-116,SFD-116-2,Showcase,,"Yone, Blademaster",Overnumbered
SFD-233*,SFD-116,SFD-116-3,Showcase,,"Yone, Blademaster",ON Signed
SFD-234,OGN-204,OGN-204-2,Showcase,,Seal of Discord,Overnumbered
SFD-235,OGN-205,OGN-205-2,Showcase,"""I hope you find the path that brings you joy.""","Yasuo, Windrider",Overnumbered
SFD-235*,OGN-205,OGN-205-3,Showcase,"""I hope you find the path that brings you joy.""","Yasuo, Windrider",ON Signed
SFD-236,OGN-243,OGN-243-2,Showcase,"""Even in death, I cannot lay down my axe.""","Darius, Executioner",Overnumbered
SFD-236*,OGN-243,OGN-243-3,Showcase,"""Even in death, I cannot lay down my axe.""","Darius, Executioner",ON Signed
SFD-237,OGN-235,OGN-235-2,Showcase,"""Endings are beginnings with a different face.""","Karma, Channeler",Overnumbered
SFD-237*,OGN-235,OGN-235-3,Showcase,"""Endings are beginnings with a different face.""","Karma, Channeler",ON Signed
SFD-238,OGN-245,OGN-245-2,Showcase,,Seal of Unity,Overnumbered
SFD-239,SFD-173,SFD-173-2,Showcase,"""Do not let the envy of others rob you of your shine.""","Soraka, Wanderer",Overnumbered
SFD-239*,SFD-173,SFD-173-3,Showcase,"""Do not let the envy of others rob you of your shine.""","Soraka, Wanderer",ON Signed
SFD-240,SFD-181,SFD-181-2,Showcase,,"Rumble, Mechanized Menace",Overnumbered
SFD-241,SFD-183,SFD-183-2,Showcase,,"Lucian, Purifier",Overnumbered
SFD-242,SFD-185,SFD-185-2,Showcase,,"Draven, Glorious Executioner",Overnumbered
SFD-243,SFD-187,SFD-187-2,Showcase,,"Rek'Sai, Void Burrower",Overnumbered
SFD-244,SFD-189,SFD-189-2,Showcase,,"Ornn, Fire Below the Mountain",Overnumbered
SFD-245,SFD-193,SFD-193-2,Showcase,,"Jax, Grandmaster at Arms",Overnumbered
SFD-246,SFD-195,SFD-195-2,Showcase,,"Irelia, Blade Dancer",Overnumbered
SFD-247,SFD-197,SFD-197-2,Showcase,,"Azir, Emperor of the Sands",Overnumbered
SFD-248,SFD-199,SFD-199-2,Showcase,,"Ezreal, Prodigal Explorer",Overnumbered
SFD-249,SFD-201,SFD-201-2,Showcase,,"Renata Glasc, Chem-Baroness",Overnumbered
SFD-250,SFD-203,SFD-203-2,Showcase,,"Sivir, Battle Mistress",Overnumbered
SFD-251,SFD-205,SFD-205-2,Showcase,,"Fiora, Grand Duelist",Overnumbered
SFD-R01,OGN-007,OGN-007-1,Common,,Fury Rune,Base
SFD-R02,OGN-042,OGN-042-1,Common,,Calm Rune,Base
SFD-R03,OGN-089,OGN-089-1,Common,,Mind Rune,Base
SFD-R04,OGN-126,OGN-126-1,Common,,Body Rune,Base
SFD-R05,OGN-166,OGN-166-1,Common,,Chaos Rune,Base
SFD-R06,OGN-214,OGN-214-1,Common,,Order Rune,Base
SFD-R01a,OGN-007,OGN-007-2,Showcase,,Fury Rune,Alt Art
SFD-R02a,OGN-042,OGN-042-2,Showcase,,Calm Rune,Alt Art
SFD-R03a,OGN-089,OGN-089-2,Showcase,,Mind Rune,Alt Art
SFD-R04a,OGN-126,OGN-126-2,Showcase,,Body Rune,Alt Art
SFD-R05a,OGN-166,OGN-166-2,Showcase,,Chaos Rune,Alt Art
SFD-R06a,OGN-214,OGN-214-2,Showcase,,Order Rune,Alt Art
SFD-R01b,OGN-007,OGN-007-4,Showcase,,Fury Rune,Nexus Night
SFD-R02b,OGN-042,OGN-042-4,Showcase,,Calm Rune,Nexus Night
SFD-R03b,OGN-089,OGN-089-4,Showcase,,Mind Rune,Nexus Night
SFD-R04b,OGN-126,OGN-126-4,Showcase,,Body Rune,Nexus Night
SFD-R05b,OGN-166,OGN-166-4,Showcase,,Chaos Rune,Nexus Night
SFD-R06b,OGN-214,OGN-214-4,Showcase,,Order Rune,Nexus Night
UNL-022a,UNL-022,UNL-022-2,Showcase,,"Jhin, Murderous Artist",Alt Art
UNL-024a,UNL-024,UNL-024-2,Showcase,,"Rengar, Unseen",Alt Art
UNL-028a,UNL-028,UNL-028-2,Showcase,,"Pyke, Dockside Butcher",Alt Art
UNL-029a,UNL-029,UNL-029-2,Showcase,,Red Brambleback,Alt Art
UNL-030a,UNL-030,UNL-030-2,Showcase,,"Vi, Hotheaded",Alt Art
UNL-051a,UNL-051,UNL-051-2,Showcase,,"Ivern, Nurturer",Alt Art
UNL-055a,UNL-055,UNL-055-2,Showcase,,"Vex, Mocking",Alt Art
UNL-058a,UNL-058,UNL-058-2,Showcase,,"Lillia, Protector of Dreams",Alt Art
UNL-059a,UNL-059,UNL-059-2,Showcase,,"Master Yi, Unstoppable",Alt Art
UNL-060a,UNL-060,UNL-060-2,Showcase,,Vilemaw,Alt Art
UNL-079a,UNL-079,UNL-079-2,Showcase,,"Diana, Lunari",Alt Art
UNL-082a,UNL-082,UNL-082-2,Showcase,,"Lillia, Fae Fawn",Alt Art
UNL-087a,UNL-087,UNL-087-2,Showcase,,Blue Sentinel,Alt Art
UNL-089a,UNL-089,UNL-089-2,Showcase,,"Jhin, Meticulous Killer",Alt Art
UNL-090a,UNL-090,UNL-090-2,Showcase,,"LeBlanc, Everywhere at Once",Alt Art
UNL-113a,UNL-113,UNL-113-2,Showcase,,"Master Yi, Tempered",Alt Art
UNL-116a,UNL-116,UNL-116-2,Showcase,,"Poppy, Paragon",Alt Art
UNL-118a,UNL-118,UNL-118-2,Showcase,,Elder Dragon,Alt Art
UNL-119a,UNL-119,UNL-119-2,Showcase,,"Kha'Zix, Evolving Hunter",Alt Art
UNL-120a,UNL-120,UNL-120-2,Showcase,,"Rengar, Trophy Hunter",Alt Art
UNL-143a,UNL-143,UNL-143-2,Showcase,,"Kha'Zix, Mutating Horror",Alt Art
UNL-145a,UNL-145,UNL-145-2,Showcase,,"Pyke, Returned",Alt Art
UNL-147a,UNL-147,UNL-147-2,Showcase,,Baron Nashor,Alt Art
UNL-149a,UNL-149,UNL-149-2,Showcase,,"Diana, No Longer Human",Alt Art
UNL-150a,UNL-150,UNL-150-2,Showcase,,"Vex, Apathetic",Alt Art
UNL-172a,UNL-172,UNL-172-2,Showcase,,"LeBlanc, Fragmented",Alt Art
UNL-176a,UNL-176,UNL-176-2,Showcase,,"Vi, Peacekeeper",Alt Art
UNL-177a,UNL-177,UNL-177-2,Showcase,,"Ivern, Friend to All",Alt Art
UNL-178a,UNL-178,UNL-178-2,Showcase,,"Poppy, Defender of the Meek",Alt Art
UNL-179a,UNL-179,UNL-179-2,Showcase,,Rift Herald,Alt Art
UNL-220,OGN-013,OGN-013-2,Showcase,,Pouty Poro,Overnumbered
UNL-221,SFD-036,SFD-036-2,Showcase,,Lonely Poro,Overnumbered
UNL-222,SFD-069,SFD-069-2,Showcase,,Plundering Poro,Overnumbered
UNL-223,SFD-099,SFD-099-2,Showcase,,Veteran Poro,Overnumbered
UNL-224,OGN-171,OGN-171-2,Showcase,,Mystic Poro,Overnumbered
UNL-225,OGN-210,OGN-210-2,Showcase,,Daring Poro,Overnumbered
UNL-226,UNL-181,UNL-181-2,Showcase,,"Jhin, Virtuoso",Overnumbered
UNL-226*,UNL-181,UNL-181-3,Showcase,,"Jhin, Virtuoso",ON Signed
UNL-227,UNL-183,UNL-183-2,Showcase,,"Rengar, Pridestalker",Overnumbered
UNL-227*,UNL-183,UNL-183-3,Showcase,,"Rengar, Pridestalker",ON Signed
UNL-228,UNL-185,UNL-185-2,Showcase,,"Pyke, Bloodharbor Ripper",Overnumbered
UNL-228*,UNL-185,UNL-185-3,Showcase,,"Pyke, Bloodharbor Ripper",ON Signed
UNL-229,UNL-187,UNL-187-2,Showcase,,"Vi, Piltover Enforcer",Overnumbered
UNL-229*,UNL-187,UNL-187-3,Showcase,,"Vi, Piltover Enforcer",ON Signed
UNL-230,UNL-189,UNL-189-2,Showcase,,"Lillia, Bashful Bloom",Overnumbered
UNL-230*,UNL-189,UNL-189-3,Showcase,,"Lillia, Bashful Bloom",ON Signed
UNL-231,UNL-191,UNL-191-2,Showcase,,"Master Yi, Wuju Master",Overnumbered
UNL-231*,UNL-191,UNL-191-3,Showcase,,"Master Yi, Wuju Master",ON Signed
UNL-232,UNL-193,UNL-193-2,Showcase,,"Vex, Gloomist",Overnumbered
UNL-232*,UNL-193,UNL-193-3,Showcase,,"Vex, Gloomist",ON Signed
UNL-233,UNL-195,UNL-195-2,Showcase,,"Ivern, Green Father",Overnumbered
UNL-233*,UNL-195,UNL-195-3,Showcase,,"Ivern, Green Father",ON Signed
UNL-234,UNL-197,UNL-197-2,Showcase,,"Diana, Scorn of the Moon",Overnumbered
UNL-234*,UNL-197,UNL-197-3,Showcase,,"Diana, Scorn of the Moon",ON Signed
UNL-235,UNL-199,UNL-199-2,Showcase,,"LeBlanc, Deceiver",Overnumbered
UNL-235*,UNL-199,UNL-199-3,Showcase,,"LeBlanc, Deceiver",ON Signed
UNL-236,UNL-201,UNL-201-2,Showcase,,"Kha'Zix, Voidreaver",Overnumbered
UNL-236*,UNL-201,UNL-201-3,Showcase,,"Kha'Zix, Voidreaver",ON Signed
UNL-237,UNL-203,UNL-203-2,Showcase,,"Poppy, Keeper of the Hammer",Overnumbered
UNL-237*,UNL-203,UNL-203-3,Showcase,,"Poppy, Keeper of the Hammer",ON Signed
UNL-238,UNL-118,UNL-118-2,Ultimate,,Elder Dragon,Ultimate
UNL-R01a,OGN-007,OGN-007-5,Showcase,,Fury Rune,Alt Art
UNL-R02a,OGN-042,OGN-042-5,Showcase,,Calm Rune,Alt Art
UNL-R03a,OGN-089,OGN-089-5,Showcase,,Mind Rune,Alt Art
UNL-R04a,OGN-126,OGN-126-5,Showcase,,Body Rune,Alt Art
UNL-R05a,OGN-166,OGN-166-5,Showcase,,Chaos Rune,Alt Art
UNL-R06a,OGN-214,OGN-214-5,Showcase,,Order Rune,Alt Art
