ID,Name,Supertype,Type,Domains,Rarity,Energy Cost,Power Cost,Might,Rules Text,Effect Text,Champion Tag,Other Tags,Flavor Text,Errata-ed
OGN-022,Thermo Beam,,Spell,Fury,Uncommon,5,2,,"[Action]
Kill all gear.",,,,"""Turn the limiter off, the beam is totally unstable.""
—Common last words",FALSE
OGN-023,Unlicensed Armory,,Gear,Fury,Uncommon,2,0,,"Discard 1, [E]: Choose a friendly unit. The next time it would die this turn, you may pay [C] to heal it, exhaust it, and recall it instead.",,,,,TRUE
OGN-024,Void Seeker,,Spell,Fury,Uncommon,3,1,,"[Action]
Deal 4 ot a unit at a battlefield. Draw 1.",,,,"""It's a good day for a hunt.""
—Kai'Sa",FALSE
OGN-025,Blind Fury,,Spell,Fury,Rare,4,2,,"[Action]
Each opponent reveals the top card of their Main Deck. Choose one and banish it, then play it, ignoring its cost. Then recycle the rest.",,,,,TRUE
OGN-026,Brynhir Thundersong,,Unit,Fury,Rare,6,0,5,"When you play me, opponents can't play cards this turn.",,,Freljord,"""Silence. The sky speaks.""",FALSE
OGN-027,"Darius, Trifarian",Champion,Unit,Fury,Rare,5,1,5,"When you play your second card in a turn, give me +2 [M] this turn and ready me.",,Darius,"Noxus, Trifarian","""With overwhelming force.""",FALSE
OGN-028,"Draven, Showboat",Champion,Unit,Fury,Rare,5,1,3,My Might is increased by your points.,,Draven,Noxus,"""Let's admire me for a bit.""",FALSE
OGN-029,Falling Star,,Spell,Fury,Rare,2,2,,"Do this twice:
Deal 3 to a unit.",,,,,FALSE
OGN-030,"Jinx, Demolitionist",Champion,Unit,Fury,Rare,3,1,4,"[Accelerate]
[Assault 2]
When you play me, discard 2.",,Jinx,Zaun,"""I really need a new gun. But don't tell my other guns.""",FALSE
OGN-031,Raging Firebrand,,Unit,Fury,Rare,6,1,4,"When you play me, the next spell you play this turn costs [5] less.",,,"Mount Targon, Dragon",,FALSE
OGN-032,Ravenborn Tome,,Gear,Fury,Rare,3,0,,[E]: The next spell you play this turn deals 1 Bonus Damage.,,,,"The book is bound in flame-resistant materials, for obvious reasons.",TRUE
OGN-033,Shakedown,,Spell,Fury,Rare,2,1,,"[Reaction]
Choose an enemy unit. Deal 6 to it unless its controller has you draw 2.",,,,"""Blink once for yes.""",FALSE
OGN-034,"Tryndamere, Barbarian",Champion,Unit,Fury,Rare,7,2,8,"When I conquer after an attack, if you assigned 5 or more excess damage to enemy units, you score 1 point.",,Tryndamere,Freljord,"""You never stood a chance.""",FALSE
OGN-035,"Vayne, Hunter",Champion,Unit,Fury,Rare,4,1,2,"[Assault 3]
If an opponent controls a battlefield, I enter ready.
When I conquer, you may pay [1] to return me to my owner's hand.",,Vayne,"Demacia, Sentinel","""On wings of night.""",TRUE
OGN-036,"Vi, Destructive",Champion,Unit,Fury,Rare,2,1,3,"[Ganking]
Recycle 1 from your trash: Give me +1 [M] this turn.",,Vi,Piltover,"""Punch first. Ask questions while punching.""",FALSE
OGN-037,Immortal Phoenix,,Unit,Fury,Epic,3,1,3,"[Assault 2]
When you kill a unit with a spell, you may pay [1][C] to play me from your trash.",,,Spirit,The memory of every death fuels even brighter flames.,FALSE
OGN-038,Kadregrin the Infernal,,Unit,Fury,Epic,9,2,9,"When you play me, draw 1 for each of your [Mighty] units.",,,"Demacia, Dragon",First among flames.,FALSE
OGN-039,"Kai'Sa, Survivor",Champion,Unit,Fury,Epic,4,0,4,"[Accelerate]
When I conquer, draw 1.",,Kai'Sa,The Void,"""I like it here. I just might stay.""",FALSE
OGN-040,Seal of Rage,,Gear,Fury,Epic,0,1,,[E]: [Reaction] — [Add] [C].,,,,,FALSE
OGN-041,"Volibear, Furious",Champion,Unit,Fury,Epic,10,2,9,"[Deflect 2]
When I attack, deal 5 damage split among any number of enemy units here.",,Volibear,Freljord,"""I split mountains with my roar!""",FALSE
OGN-042,Calm Rune,,Rune,Calm,Common,,,,,,,,,FALSE
OGN-043,Charm,,Spell,Calm,Common,1,1,,Move an enemy unit.,,,,"""There's no harm in looking.""
—Common last words",FALSE
OGN-044,Clockwork Keeper,,Unit,Calm,Common,2,0,2,"You may pay [C] as an additional cost to play me.
When you play me, if you paid the additional cost, draw 1.",,,Shurima,It always goes back for seconds.,TRUE
OGN-045,Defy,,Spell,Calm,Common,1,1,,"[Reaction]
Counter a spell that costs no more than [4] and no more than [A].",,,,"""No.""",FALSE
OGN-046,En Garde,,Spell,Calm,Common,1,0,,"[Reaction]
Give a friendly unit +1 [M] this turn, then an addtional +1 [M] this turn if it is the only unit you control there.",,,,"""Is this supposed to be a challenge?"" —Fiora",FALSE
OGN-047,Find Your Center,,Spell,Calm,Common,3,0,,"[Action]
If an opponent's score is within 3 points of the Victory Score, this costs [2] less.
Draw 1 and channel 1 rune exhausted.",,,,One does not wait for the perfect moment.,FALSE
OGN-048,Meditation,,Spell,Calm,Common,2,0,,"[Reaction]
As an additional cost to play this, you may exhaust a friendly unit. If you do, draw 2. Otherwise, draw 1.",,,,,FALSE
OGN-049,Playful Phantom,,Unit,Calm,Common,5,0,5,,,,"Shadow Isles, Spirit","""My toys break so easiliy.""",FALSE
OGN-050,Rune Prison,,Spell,Calm,Common,2,1,,"[Action]
Stun a unit.",,,,"""Be still!""
—Ryze",FALSE
OGN-051,Solari Shieldbearer,,Unit,Calm,Common,3,0,2,"When you play me, stun a unit.",,,Mount Targon,"""Discipline is our shield.""",FALSE
OGN-052,Stalwart Poro,,Unit,Calm,Common,2,0,2,[Shield],,,Poro,It suits him.,FALSE
OGN-053,Stand United,,Spell,Calm,Common,3,0,,"[Hidden]
[Action]
Buff a friendly unit. Buffs give an addtional +1 [M] to friendly units this turn.",,,,,FALSE
OGN-054,Sunlit Guardian,,Unit,Calm,Common,3,0,3,"[Shield]
[Tank]",,,Shurima,Nobody ever won a war without defending.,FALSE
OGN-055,Wielder of Water,,Unit,Calm,Common,3,0,2,"While I'm attacking or defending alone, I have +2 [M].",,,Ionia,Each drop an ocean of possibilities.,FALSE
OGN-056,Adaptatron,,Unit,Calm,Uncommon,4,0,3,"When I conquer, you may kill a gear. If you do, buff me.",,,"Piltover, Mech",There's a scrap for that.,FALSE
OGN-057,Block,,Spell,Calm,Uncommon,2,0,,"[Hidden]
[Action]
Give a unit [Shield 3] and [Tank] this turn.",,,,,FALSE
OGN-058,Discipline,,Spell,Calm,Uncommon,2,0,,"[Reaction]
Give a unit +2 [M] this turn. Draw 1.",,,,A blade is only as sharp as the one who wields it.,FALSE
OGN-059,Eclipse Herald,,Unit,Calm,Uncommon,7,1,7,"When you stun an enemy unit, ready me and give me +1 [M] this turn.",,,"Mount Targon, Bird",An omen as terrifying as that which follows.,FALSE
OGN-060,Mask of Foresight,,Gear,Calm,Uncommon,2,0,,"When a friendly unit attacks or defends alone, give it +1 [M] this turn.",,,,"To know the future, you must first accept it.",FALSE
OGN-061,Poro Herder,,Unit,Calm,Uncommon,3,1,3,"When you play me, if you control a Poro, buff me and draw 1.",,,Freljord,A fluft is where you make it.,FALSE
OGN-062,Reinforce,,Spell,Calm,Uncommon,5,0,,Look at the top 5 cards of your Main Deck. You may play a unit from among them. Its Energy cost is reduced by [5]. Then recycle the remaining cards.,,,,,FALSE
OGN-063,Spirit's Refuge,,Gear,Calm,Uncommon,2,1,,"When you play this, buff a friendly unit.
Friendly buffed units have [Deflect] if they didn't already.",,,,,FALSE
OGN-064,Wind Wall,,Spell,Calm,Uncommon,3,2,,"[Reaction]
Counter a spell.",,,,"""Face the wind!""
—Yasuo",FALSE
OGN-065,Wizened Elder,,Unit,Calm,Uncommon,4,0,4,"While I'm buffed, I have an addtional +1 [M].",,,Ionia,"""I'm still fighting at my age. That should concern you more than it does.""",FALSE
OGN-066,"Ahri, Alluring",Champion,Unit,Calm,Rare,5,1,4,"When I hold, you score 1 point.",,Ahri,Ionia,"""Remember this moment.""",FALSE
OGN-067,"Blitzcrank, Impassive",Champion,Unit,Calm,Rare,5,1,5,"[Tank]
When you play me to a battlefield, you may move an enemy unit to here.
When I hold, return me to my owner's hand.",,Blitzcrank,"Zaun, Mech",,FALSE
OGN-068,"Caitlyn, Patrolling",Champion,Unit,Calm,Rare,3,1,3,"I must be assigned combat damage last.
[E]: Deal damage equal to my Might to a unit at a battlefield. Use this ability only while I'm at a battlefield.",,Caitlyn,Piltover,"""I never miss.""",FALSE
OGN-069,Last Stand,,Spell,Calm,Rare,3,1,,"[Action]
Double a friendly unit's Might this turn. Give it [Temporary].",,,,Worth it.,FALSE
OGN-070,Mageseeker Warden,,Unit,Calm,Rare,6,1,5,"While I'm at a battlefield, opponents can only play units to their base.
While I'm at a battlefield, spells and abilities can't ready enemy units and gear.",,,Demacia,,FALSE
OGN-071,Party Favors,,Spell,Calm,Rare,3,0,,"Each other player chooses Cards or Runes. For each player that chooses Cards, you and that player each draw 1. For each player that chooses Runes, you and that player each channel 1 rune exhausted.",,,,,FALSE
OGN-072,Solari Shrine,,Gear,Calm,Rare,3,0,,"Whenever you kill a stunned enemy unit, you may exhaust this to draw 1.",,,,The names of the fallen are a lesson for our descendants.,FALSE
OGN-073,"Sona, Harmonious",Champion,Unit,Calm,Rare,4,1,4,"At the end of your turn, if I'm at a battlefield, ready up to 4 friendly runes.",,Sona,Demacia,"""The symphony never ends.""",TRUE
OGN-074,"Taric, Protector",Champion,Unit,Calm,Rare,4,1,4,"[Shield]
[Tank]
Other friendly units here have [Shield].",,Taric,Mount Targon,"""Each life is a rare jewel.""",FALSE
OGN-075,Tasty Faefolk,,Unit,Calm,Rare,7,0,6,"[Accelerate]
[Deathknell] — Channel 2 runes exhausted and draw 1.",,,"Bandle City, Fae",,FALSE
OGN-076,"Yasuo, Remorseful",Champion,Unit,Calm,Rare,6,2,6,"When I attack, deal damage equal to my Might to an enemy unit here.",,Yasuo,Ionia,"""Is a leaf's only purpose to fall?""",FALSE
OGN-077,Zhonya's Hourglass,,Gear,Calm,Rare,2,0,,"[Hidden]
If a friendly unit would die, kill this instead. Heal that unit, exhaust it, and recall it.",,,,,TRUE
OGN-078,"Lee Sin, Ascetic",Champion,Unit,Calm,Epic,5,1,5,"[Shield]
[E]: Buff me.
I can have any number of buffs.",,Lee Sin,Ionia,"""Let us see whose spirit is stronger.""",FALSE
OGN-079,"Leona, Zealot",Champion,Unit,Calm,Epic,6,1,6,"If an opponent's score is within 3 points of the Victory Score, I enter ready.
Stunned enemy units here have -8 [M], to a minimum of 1 [M].",,Leona,Mount Targon,"""Feel the sun's glory!""",FALSE
OGN-080,Mystic Reversal,,Spell,Calm,Epic,4,3,,"[Reaction]
Gain control of a spell. You may make new choices for it.",,,,"Good mages borrow, great mages steal.",FALSE
OGN-081,Seal of Focus,,Gear,Calm,Epic,0,1,,[E]: [Reaction] — [Add] [C].,,,,,FALSE
OGN-082,Whiteflame Protector,,Unit,Calm,Epic,8,2,8,"When you play me, give a unit +8 [M] this turn.",,,"Mount Targon, Dragon",A dragon is capable of nobility equal to its r age.,FALSE
OGN-083,Consult the Past,,Spell,Mind,Common,4,0,,"[Hidden]
[Reaction]
Draw 2.",,,,,FALSE
OGN-084,Eager Apprentice,,Unit,Mind,Common,3,0,3,"While I'm at a battlefield, the Energy costs for spells you play is reduced by [1], to a minimum of [1].",,,Piltover,"""As long as these thirty-seven things go right, it'll work every time!""",FALSE
OGN-085,Falling Comet,,Spell,Mind,Common,5,0,,"[Action]
Deal 6 to a unit at a battlefield.",,,,Just an everyday celestial event.,FALSE
OGN-086,Jeweled Colossus,,Unit,Mind,Common,5,0,5,"[Vision]
[Shield]",,,Mount Targon,,FALSE
OGN-087,Lecturing Yordle,,Unit,Mind,Common,3,0,2,"[Tank]
When you play me, draw 1.",,,"Bandle City, Yordle","""... poisonous, but I didn't know that at the time. You see...""",FALSE
OGN-088,Mega-Mech,,Unit,Mind,Common,7,0,8,,,,"Bandle City, Mech","Mech fights have two rules:
One—No cheating.
Two—Don't get caught cheating.",FALSE
OGN-089,Mind Rune,,Rune,Mind,Common,,,,,,,,,FALSE
OGN-090,Orb of Regret,,Gear,Mind,Common,1,0,,"[E]: Give a unit -1 [M] this turn, to a minimum of 1 [M].",,,,"""There's beauty in even the most painful memories.""
—Ahri",FALSE
OGN-091,Pit Crew,,Unit,Mind,Common,3,0,3,"When you play a gear, ready me.",,,Bandle City,"""GOOD ENOUGH LET'S GOOOOO!""",FALSE
OGN-092,Riptide Rex,,Unit,Mind,Common,6,2,6,"When you play me, deal 6 to an enemy unit at a battlefield.",,,"Bilgewater, Pirate","""Rainin' fire!""",FALSE
OGN-093,Smoke Screen,,Spell,Mind,Common,2,1,,"[Reaction]
Give a unit -4 [M] this turn, to a minimum of 1 [M].",,,,"""Well, well, well. What have we here?""",FALSE
OGN-094,Sprite Call,,Spell,Mind,Common,3,0,,"[Hidden]
[Action]
Play a ready 3 [M] Sprite unit token with [Temporary].",,,,,FALSE
OGN-095,Stupefy,,Spell,Mind,Common,1,0,,"Give a unit -1 [M] this turn, to a minimum of 1 [M].
Draw 1.",,,,It's easier to outsmart an opponent with a concussion.,FALSE
OGN-096,Watchful Sentry,,Unit,Mind,Common,2,0,1,[Deathknell] — Draw 1.,,,Freljord,"He may never see home again. But because of him, that home still stands.",FALSE
OGN-097,Blastcone Fae,,Unit,Mind,Uncommon,2,1,2,"[Hidden]
When you play me, give a unit -2 [M] this turn, to a minimum of 1 [M].",,,"Bandle City, Fae",,FALSE
OGN-098,Energy Conduit,,Gear,Mind,Uncommon,3,0,,[E]: [Reaction] — [Add] [1].,,,,"Whatever it does, it sure does a lot of it.",FALSE
OGN-099,Garbage Grabber,,Gear,Mind,Uncommon,2,0,,"Recycle 3 from your trash, [1], [E]: Draw 1.",,,,The constructs of the in-between feed on whatever gets lost in the portals—mostly keys and left socks.,FALSE
OGN-100,Gemcraft Seer,,Unit,Mind,Uncommon,3,1,3,"[Vision]
Other friendly units have [Vision].",,,Mount Targon,The light changes with every reflection.,FALSE
OGN-101,Mushroom Pouch,,Gear,Mind,Uncommon,2,0,,"At the start of your Beginning Phase, if you control a facedown card at a battlefield, draw 1.",,,,"""A Bandle Scout is always prepared!""
—Teemo",FALSE
OGN-102,Portal Rescue,,Spell,Mind,Uncommon,3,1,,"Banish a friendly unit, then its owner plays it to their base, ignoring its cost.",,,,"""Where do the portals go? You know, I've never asked.""
—Norra",TRUE
OGN-103,Ravenbloom Student,,Unit,Mind,Uncommon,2,0,2,"When you play a spell, give me +1 [M] this turn.",,,Noxus,A little knowledge is a dagnerous thing. A lot of knowledge is awesome,FALSE
OGN-104,Retreat,,Spell,Mind,Uncommon,1,0,,"[Reaction]
Return a friendly unit to its owner's hand. Its owner channels 1 rune exhausted.",,,,There's always tomorrow.,FALSE
OGN-105,Singularity,,Spell,Mind,Uncommon,6,2,,Deal 6 to each of up to two units.,,,,"Two fates, very briefly intertwined.",FALSE
OGN-106,Sprite Mother,,Unit,Mind,Uncommon,4,1,3,"When you play me, play a ready 3 [M] Sprite unit token with [Temporary] here.",,,Fae,"""Come, little ones.""",FALSE
OGN-107,Ava Achiever,,Unit,Mind,Rare,5,0,4,"When I attack, you may pay [C] to play a card with [Hidden] from your hand, ignoring its cost. If itʼs a unit, play it here.",,,"Bandle City, Yordle","""I brought snacks!""",TRUE
OGN-108,Convergent Mutation,,Spell,Mind,Rare,2,1,,"[Reaction]
Choose a friendly unit. This turn, increase its Might to the Might of another friendly unit.",,,,"""I don't know. I think it's kind of cute.""",TRUE
OGN-109,"Dr. Mundo, Expert",Champion,Unit,Mind,Rare,8,2,6,"My Might is increased by the number of cards in your trash.
At the start of your Beginning Phase, recycle 3 from your trash.",,Dr. Mundo,Zaun,"""This not hurt a bit!""",FALSE
OGN-110,"Ekko, Recurrent",Champion,Unit,Mind,Rare,5,1,5,[Accelerate] [Deathknell] — Recycle me to ready your runes.,,Ekko,Zaun,"""Time to start some trouble.""",FALSE
OGN-111,"Heimerdinger, Inventor",Champion,Unit,Mind,Rare,3,1,3,"I have all [E] abilities of all friendly legends, units, and gear.",,Heimerdinger,"Piltover, Yordle","""I do love a good conundrum.""",FALSE
OGN-112,"Kai'Sa, Evolutionary",Champion,Unit,Mind,Rare,6,1,6,"[Ganking]
When I conquer, you may play a spell from your trash with Energy cost less than your points without paying its Energy cost. Then recycle it.",,Kai'Sa,The Void,,FALSE
OGN-113,"Malzahar, Fanatic",Champion,Unit,Mind,Rare,4,0,3,"Kill a friendly unit or gear, [E]: [Action] — [Add] [A][A].",,Malzahar,The Void,"""We demand sacrifice.""",FALSE
OGN-114,Progress Day,,Spell,Mind,Rare,6,1,,Draw 4.,,,,"See the dreams of a thousand tomorrows, and at such a low price!",FALSE
OGN-115,Promising Future,,Spell,Mind,Rare,5,1,,"Each player looks at the top 5 cards of their Main Deck, banishes one of them, then recycles the rest. Starting with the next player, each player plays those cards, ignoring Energy costs.",,,,,TRUE
OGN-116,Thousand-Tailed Watcher,,Unit,Mind,Rare,7,1,7,"[Accelerate]
When you play me, give enemy units -3 [M] htis turn, to a minimum of 1 [M].",,,Ionia,You will know when you've pushed the wilds too far.,FALSE
OGN-117,"Viktor, Innovator",Champion,Unit,Mind,Rare,4,1,3,"When you play a card on an opponent's turn , play a 1 [M] Recruit unit token in your base.",,Viktor,Zaun,"""Join the glorious evolution.""",FALSE
OGN-118,Wraith of Echoes,,Unit,Mind,Rare,6,1,5,"The first time another friendly unit dies each turn, draw 1.",,,"Shadow Isles, Spirit",His friends are with him in spirit.,FALSE
OGN-119,"Ahri, Inquisitive",Champion,Unit,Mind,Epic,3,1,3,"When I attack or defend, give an enemy unit here -2 [M] this turn, to a minimum of 1 [M].",,Ahri,Ionia,"""The hunter and the hunted.""",FALSE
OGN-120,Seal of Insight,,Gear,Mind,Epic,0,1,,[E]: [Reaction] — [Add] [C].,,,,,FALSE
OGN-121,"Teemo, Strategist",Champion,Unit,Mind,Epic,2,1,,"[Hidden]
When I defend, choose an enemy unit here and reveal the top 5 cards of your Main Deck. Deal 1 to that unit for each card with [Hidden] revealed this way, then recycle the revealed cards.",,Teemo,"Bandle City, Yordle",,TRUE
OGN-122,Time Warp,,Spell,Mind,Epic,10,4,,Take a turn after this one. Banish this.,,,,"""Fool me once... and I'll just rewind.""
—Ekko",FALSE
OGN-123,Unchecked Power,,Spell,Mind,Epic,7,2,,"Exhaust all friendly units, then deal 12 to all units at battlefields.",,,,That's enough.,FALSE
OGN-124,Arena Bar,,Gear,Body,Common,3,0,,[E]: Buff an exhausted friendly unit.,,,,"""This one's on the house!""",FALSE
OGN-125,Bilgewater Bully,,Unit,Body,Common,6,0,6,"While I'm buffed, I have [Ganking].",,,Bilgewater,"Places to go, people to gank.",FALSE
OGN-126,Body Rune,,Rune,Body,Common,,,,,,,,,FALSE
OGN-127,Cannon Barrage,,Spell,Body,Common,2,1,,"[Reaction]
Deal 2 to all enemy units in combat.",,,,"If you've got enough guns, you don't need to aim.",FALSE
OGN-128,Challenge,,Spell,Body,Common,2,1,,"[Action]
Choose a friendly unit and an enemy unit. They deal damage equal to their Mights to each other.",,,,"""He started it when he hit me back!""",FALSE
OGN-129,Confront,,Spell,Body,Common,2,0,,"[Action]
Units you play this turn enter ready.
Draw 1.",,,,Now is the only moment that matters.,FALSE
OGN-130,Crackshot Corsair,,Unit,Body,Common,3,0,3,"When I attack, deal 1 to an enemy unit here.",,,"Bilgewater, Pirate","""Ahoy.""",FALSE
OGN-131,Dune Drake,,Unit,Body,Common,5,0,5,"When I attack, give me +2 [M] this turn if there is a ready enemy unit here. ",,,"Shurima, Dragon","Dragons hunt not just for food, but for the thrill of it.",TRUE
OGN-132,First Mate,,Unit,Body,Common,3,0,3,"When you play me, ready another unit.",,,"Bilgewater, Pirate","""It's a boarding party! Try to have some fun with it.""",FALSE
OGN-133,Flurry of Blades,,Spell,Body,Common,1,0,,"[Reaction]
Deal 1 to all units at battlefields.",,,,"""Violence solves everything.""
—Katarina",FALSE
OGN-134,Mobilize,,Spell,Body,Common,2,0,,"Channel 1 rune exhausted. If you can't, draw 1.",,,,The sound of trumpets is the first blow struck in battle.,FALSE
OGN-135,Pakaa Cub,,Unit,Body,Common,3,0,3,[HIdden],,,"Ixtal, Cat","""Oh, it's so cute!""
—Common last words",FALSE
OGN-136,Pit Rookie,,Unit,Body,Common,2,0,2,"When you play me, buff another friendly unit.",,,Bilgewater,"""Is that all you got?""",FALSE
OGN-137,Stormclaw Ursine,,Unit,Body,Common,7,0,6,"[Tank]
When you play me, channel 1 rune exhausted.",,,Freljord,"""The Ursine speak for man, and the wild responds.""
—Volibear",FALSE
OGN-138,Catalyst of Aeons,,Spell,Body,Common,4,0,,"Channel 2 runes exhausted. If you couldn't channel 2 runes this way, draw 1.",,,,"Ages of strife, crystallized into eternity.",FALSE
OGN-139,Cithria of Cloudfield,,Unit,Body,Uncommon,2,0,1,"When you play another unit, buff me.",,,"Demacia, Elite",Every story starts small.,FALSE
OGN-140,Herald of Scales,,Unit,Body,Uncommon,4,0,3,"Your Dragons' Energy costs are reduced by [2], to a minimum of [1].",,,Mount Targon,The language of dragons is a magic of its own.,FALSE
OGN-141,Kinkou Monk,,Unit,Body,Uncommon,4,1,4,"When you play me, buff up to two other friendly units.",,,Ionia,"A master teaches the same lesson again and again, and learns something new each time.",TRUE
OGN-142,Mountain Drake,,Unit,Body,Uncommon,9,0,10,,,,Dragon,"After centuries spent trying to understand dragon behavior, researchers can agree on one thing: If you're seeing that behavior up close... run.",FALSE
OGN-143,Pirate's Haven,,Gear,Body,Uncommon,3,0,,"When you ready a friendly unit, give it +1 [M] this turn.",,,,"It's the best place in the world, until you run out of coin.",FALSE
OGN-144,Spoils of War,,Spell,Body,Uncommon,4,1,,"[Reaction]
If an enemy unit has died this turn, this costs [2] less.
Draw 2.",,,,Waste nothing.,FALSE
OGN-145,Unyielding Spirit,,Spell,Body,Uncommon,1,1,,Prevent all damage that would be dealt this turn by spells and abilities.,,,,Battles are won in the heart before they are won on the field.,FALSE
OGN-146,Wallop,,Spell,Body,Uncommon,2,0,,"[Action]
As you play this, you may spend a buff as an additional cost. If you do, ignore this spell's cost.",,,,"If smashing doesn't work, just keep smashing.",FALSE
OGN-147,Wildclaw Shaman,,Unit,Body,Uncommon,4,0,3,"When you play me, you may spend a buff to buff me and ready me.",,,Freljord,"To channel nature's fury, a shaman must endure it.",FALSE
OGN-148,"Anivia, Primal",Champion,Unit,Body,Rare,7,2,8,"When I attack, deal 3 to all enemy units here.",,Anivia,"Freljord, Bird","""Do not tempt the blizzard.""",FALSE
OGN-149,Carnivorous Snapvine,,Unit,Body,Rare,5,2,6,"When you play me, choose an enemy unit at a battlefield. We deal damage equal to our Mights to each other.",,,Shadow Isles,Gardening is usually a very relaxing hobby.,FALSE
OGN-150,Kraken Hunter,,Unit,Body,Rare,3,2,5,"[Accelerate]
[Assault]
As you play me, you may spend any number of buffs as an additional cost. Reduce my cost by [C] for each buff you spend.",,,"Bilgewater, Pirate",,FALSE
OGN-151,"Lee Sin, Centered",Champion,Unit,Body,Rare,6,0,6,"[Accelerate]
Other buffed friendly units at my battlefield have +2 [M].",,Lee Sin,Ionia,"""Today will be a worthy test.""",FALSE
OGN-152,Mistfall,,Gear,Body,Rare,3,0,,"When you buff a friendly unit, you may pay [C] and exhaust this to ready it.",,,,"Thousands of thwarted dreams, ready to be lifted anews.",FALSE
OGN-153,Overt Operation,,Spell,Body,Rare,5,2,,"[Action]
For each friendly unit, you may spend its buff to ready it. Then buff all friendly units.",,,,"""We can go deep undercover, sneak in through the back, and end this quietly. Or...""",FALSE
OGN-154,Primal Strength,,Spell,Body,Rare,4,1,,"[Action]
Give a unit +7 [M] this turn.",,,,There is savagery inside us all.,FALSE
OGN-155,"Qiyana, Victorious",Champion,Unit,Body,Rare,4,1,4,"[Deflect]
When I conquer, draw 1 or channel 1 rune exhausted.",,Qiyana,Ixtal,"""Line them up. I will bend their knees.""",FALSE
OGN-156,Sabotage,,Spell,Body,Rare,1,1,,"Choose an opponent. They reveal their hand. Choose a non-unit card from it, and recycle that card.",,,,Sometimes it takes dirty tricks to ensure a fair fight.,FALSE
