ID,Base ID,TTS ID,Rarity,Altered Flavor Text,Base Card Name,Notes (assume overnumbered)
SFD-148a,SFD-148,,Showcase,,"Draven, Audacious",
SFD-149a,SFD-149,,Showcase,,"Ezreal, Prodigy",
SFD-170a,SFD-170,,Showcase,,"Rek'Sai, Swarm Queen",
SFD-171a,SFD-171,,Showcase,,"Renata Glasc, Industrialist",
SFD-177a,SFD-177,,Showcase,,"Azir, Sovereign",
SFD-180a,SFD-180,,Showcase,,"Fiora, Worthy",
SFD-222,OGN-040,,Showcase,,Seal of Rage,
SFD-223,OGN-035,,Showcase,"""Goodbye... for now.""","Vayne, Hunter",
SFD-223*,OGN-035,,Showcase,"""Goodbye... for now.""","Vayne, Hunter",
SFD-224,SFD-049,,Showcase,,"Aphelios, Exalted",
SFD-224*,SFD-049,,Showcase,,"Aphelios, Exalted",
SFD-225,SFD-057,,Showcase,"""Everyone has a purpose.""","Irelia, Fervent",
SFD-225*,SFD-057,,Showcase,"""Everyone has a purpose.""","Irelia, Fervent",
SFD-226,OGN-081,,Showcase,,Seal of Focus,
SFD-227,OGN-119,,Showcase,"""Just remember... to follow the fox.""","Ahri, Inquisitive",
SFD-227*,OGN-119,,Showcase,"""Just remember... to follow the fox.""","Ahri, Inquisitive",
SFD-228,SFD-079,,Showcase,(Mysterious flower noises intensify.),"Bard, Mercurial",
SFD-228*,SFD-079,,Showcase,(Mysterious flower noises intensify.),"Bard, Mercurial",
SFD-229,OGN-120,,Showcase,,Seal of Insight,
SFD-230,OGN-121,,Showcase,,"Teemo, Strategist",
SFD-230*,OGN-121,,Showcase,,"Teemo, Strategist",
SFD-231,OGN-163,,Showcase,,Seal of Strength,
SFD-232,OGN-164,,Showcase,"""Kings or beggars—all the same to me.""","Sett, Brawler",
SFD-232*,OGN-164,,Showcase,"""Kings or beggars—all the same to me.""","Sett, Brawler",
SFD-233,SFD-116,,Showcase,,"Yone, Blademaster",
SFD-233*,SFD-116,,Showcase,,"Yone, Blademaster",
SFD-234,OGN-204,,Showcase,,Seal of Discord,
SFD-235,OGN-205,,Showcase,"""I hope you find the path that brings you joy.""","Yasuo, Windrider",
SFD-235*,OGN-205,,Showcase,"""I hope you find the path that brings you joy.""","Yasuo, Windrider",
SFD-236,OGN-243,,Showcase,"""Even in death, I cannot lay down my axe.""","Darius, Executioner",
SFD-236*,OGN-243,,Showcase,"""Even in death, I cannot lay down my axe.""","Darius, Executioner",
SFD-237,OGN-235,,Showcase,"""Endings are beginnings with a different face.""","Karma, Channeler",
SFD-237*,OGN-235,,Showcase,"""Endings are beginnings with a different face.""","Karma, Channeler",
SFD-238,OGN-245,,Showcase,,Seal of Unity,
SFD-239,SFD-173,,Showcase,"""Do not let the envy of others rob you of your shine.""","Soraka, Wanderer",
SFD-239*,SFD-173,,Showcase,,"Soraka, Wanderer",
SFD-240,SFD-181,,Showcase,,"Rumble, Mechanized Menace",
SFD-241,SFD-183,,Showcase,,"Lucian, Purifier",
SFD-242,SFD-185,,Showcase,,"Draven, Glorious Executioner",
SFD-243,SFD-187,,Showcase,,"Rek'Sai, Void Burrower",
SFD-244,SFD-189,,Showcase,,"Ornn, Fire Below the Mountain",
SFD-245,SFD-193,,Showcase,,"Jax, Grandmaster at Arms",
SFD-246,SFD-195,,Showcase,,"Irelia, Blade Dancer",
SFD-247,SFD-197,,Showcase,,"Azir, Emperor of the Sands",
SFD-248,SFD-199,,Showcase,,"Ezreal, Prodigal Explorer",
SFD-249,SFD-201,,Showcase,,"Renata Glasc, Chem-Baroness",
SFD-250,SFD-203,,Showcase,,"Sivir, Battle Mistress",
SFD-251,SFD-205,,Showcase,,"Fiora, Grand Duelist",
SFD-R01,OGN-007,,Common,,Fury Rune,Base
SFD-R02,OGN-042,,Common,,Calm Rune,Base
SFD-R03,OGN-089,,Common,,Mind Rune,Base
SFD-R04,OGN-126,,Common,,Body Rune,Base
SFD-R05,OGN-166,,Common,,Chaos Rune,Base
SFD-R06,OGN-214,,Common,,Order Rune,Base
SFD-R01a,OGN-007,,Showcase,,Fury Rune,
SFD-R02a,OGN-042,,Showcase,,Calm Rune,
SFD-R03a,OGN-089,,Showcase,,Mind Rune,
SFD-R04a,OGN-126,,Showcase,,Body Rune,
SFD-R05a,OGN-166,,Showcase,,Chaos Rune,
SFD-R06a,OGN-214,,Showcase,,Order Rune,
SFD-R01b,OGN-007,,Showcase,,Fury Rune,Nexus Night
SFD-R02b,OGN-042,,Showcase,,Calm Rune,Nexus Night
SFD-R03b,OGN-089,,Showcase,,Mind Rune,Nexus Night
SFD-R04b,OGN-126,,Showcase,,Body Rune,Nexus Night
SFD-R05b,OGN-166,,Showcase,,Chaos Rune,Nexus Night
SFD-R06b,OGN-214,,Showcase,,Order Rune,Nexus Night
